trip,median,mean
0,53.69,53.65
1,56.87,58.07
2,426.26,426.32
3,179.58,179.43
4,56.78,58.21
5,50.26,50.46
6,53.53,54.32
7,59.99,59.14
8,66.72,65.94
9,60.12,58.6
10,125.61,124.73
11,53.45,52.86
12,60.05,60.2
13,186.08,186.15
14,112.66,111.32
15,53.52,53.39
16,51.84,51.83
17,50.23,49.44
18,99.34,100.89
19,53.49,54.62
20,60.07,58.83
21,53.45,53.16
22,48.6,48.6
23,685.39,684.03
24,63.44,64.08
25,810.26,809.21
26,60.12,60.33
27,56.7,58.09
28,50.19,50.86
29,50.25,51.59
30,56.79,57.63
31,53.55,52.37
32,102.69,103.36
33,56.78,56.95
34,50.2,49.38
35,56.85,57.4
36,60.06,59.4
37,56.75,55.73
38,50.23,51.22
39,60.08,61.4
40,56.89,58.19
41,1154.07,1155.35
42,70.11,68.98
43,73.52,73.58
44,76.72,76.75
45,136.72,136.02
46,188.75,189.12
47,1345.22,1346.72
48,43.17,42.17
49,49.91,50.08
50,2734.14,2734.24
51,107.43,106.56
52,102.93,102.07
53,102.83,103.2
54,130.14,129.92
55,241.72,241.74
56,116.84,116.23
57,107.14,108.09
58,205.57,207.06
59,110.63,110.32
60,110.29,111.17
61,110.43,110.73
62,159.3,159.99
63,123.22,124.2
64,133.21,133.16
65,120.17,118.99
66,185.5,186.06
67,120.23,119.04
68,12955.55,12955.92
-1,25624.865041666177,25628.856423610614
