trip,median,mean
0,643.3,649.94
1,87.34,88.43
2,120.05,121.63
3,93.19,92.44
4,129.57,130.68
5,103.43,102.81
6,62.46,62.51
7,32.9,33.94
8,55.77,54.33
9,177.42,178.43
10,110.55,111.98
11,113.98,113.08
12,172.71,172.62
13,128.09,126.69
14,104.29,105.31
15,78.15,76.89
16,140.24,140.91
17,104.16,103.17
18,104.22,104.34
19,231.95,237.85
20,382.23,387.26
21,107.63,106.28
22,128.93,128.98
23,101.1,100.26
24,110.89,111.35
25,107.58,108.58
26,90.93,90.37
27,87.53,87.66
28,90.71,92.16
29,254.53,260.34
30,193.28,192.77
31,97.62,98.67
32,143.34,142.61
33,284.15,284.85
34,114.26,114.32
35,187.76,188.19
36,97.69,96.57
37,226.7,225.16
38,84.3,83.03
39,87.74,87.76
40,156.29,156.29
41,341.96,359.8
42,213.13,212.86
43,114.1,113.33
44,97.44,97.26
45,117.08,118.18
46,104.13,102.81
47,131.23,130.1
48,136.72,143.72
49,100.97,100.67
50,159.56,161.06
51,100.81,99.57
52,306.91,312.18
53,117.12,123.72
54,94.08,92.75
55,91.03,91.89
56,97.67,99.25
57,150.03,151.33
58,121.52,122.99
59,97.64,97.61
60,190.02,195.69
61,117.17,117.23
62,94.05,95.31
63,92.29,92.32
64,79.98,81.47
65,160.4,167.72
66,66.64,67.7
67,66.79,66.36
68,56.96,56.86
69,66.79,67.83
70,115.83,114.46
71,132.29,133.87
72,66.9,67.27
73,73.43,72.38
74,70.19,69.11
75,73.42,72.16
76,63.61,63.5
77,63.58,62.28
78,63.61,62.94
79,70.11,71.73
80,135.72,135.73
81,60.27,59.18
82,89.89,91.18
83,65.19,65.26
84,63.72,63.02
85,76.83,75.52
86,142.18,143.43
87,67.04,68.26
88,264.3,268.71
89,187.32,187.61
90,199.6,201.05
91,133.08,132.26
92,147.39,147.95
93,150.57,151.16
94,157.25,158.45
95,218.16,223.38
96,157.27,158.37
97,139.62,138.79
98,204.17,204.25
99,250.58,251.59
100,173.11,174.79
101,427.1,453.7
102,109.22,110.46
103,151.71,152.93
104,267.5,267.54
105,66.41,66.28
106,103.8,102.87
107,290.32,303.43
108,116.7,115.75
109,152.61,153.44
110,127.27,128.33
111,130.13,129.92
112,218.39,218.74
113,107.34,106.74
114,136.64,136.69
115,120.21,120.68
116,116.89,115.74
117,106.82,107.01
118,182.09,183.08
119,162.43,162.47
120,1403.79,1429.37
121,247.93,253.58
122,113.63,112.91
123,182.87,184.32
124,488.38,493.64
125,242.69,254.46
126,116.7,116.78
127,316.63,333.24
128,130.35,130.1
129,3193.74,3206.72
130,172.65,173.94
131,100.59,100.51
132,110.37,111.55
133,97.53,96.77
134,120.69,120.57
135,117.12,117.63
136,159.56,159.25
137,182.63,183.95
138,330.95,359.51
139,143.02,142.81
140,126.47,127.59
141,106.92,106.14
142,131.01,130.64
143,127.44,128.91
144,144.43,145.33
145,144.19,143.46
146,251.67,257.42
147,218.53,217.6
148,137.46,138.94
149,471.12,469.68
150,98.19,97.26
151,140.71,142.19
152,245.24,245.1
153,177.21,176.75
154,127.79,127.63
-1,27203.266083333387,27452.693709444506
