trip,median,mean
0,77.34,77.27
1,75.69,75.67
2,56.78,58.16
3,366.92,367.12
4,49.64,50.65
5,49.66,50.1
6,49.55,50.68
7,125.86,126.86
8,103.75,104.65
9,123.6,124.0
10,104.02,102.86
11,87.37,88.98
12,156.18,154.85
13,123.46,124.97
14,87.59,87.27
15,87.46,88.9
16,97.27,97.13
17,100.48,99.68
18,179.09,179.13
19,113.76,112.36
20,124.16,123.9
21,100.48,101.74
22,84.05,82.6
23,143.2,143.89
24,229.23,228.54
25,107.17,108.44
26,324.72,324.78
27,90.69,90.76
28,100.69,100.67
29,80.98,81.67
30,80.93,81.28
31,104.42,105.15
32,100.46,100.74
33,84.11,84.72
34,149.57,148.68
35,90.6,91.51
36,120.12,120.71
37,74.11,75.47
38,93.81,95.35
39,103.74,102.95
40,185.69,186.67
41,113.58,113.72
42,143.11,143.29
43,83.95,84.2
44,87.36,86.75
45,106.93,108.41
46,87.46,87.69
47,97.24,97.5
48,225.02,225.83
49,94.02,94.53
50,93.96,93.98
51,94.1,93.34
52,166.17,166.86
53,133.23,134.55
54,97.09,97.78
55,254.76,253.24
56,182.18,181.19
57,260.89,260.54
58,56.36,55.78
59,93.27,92.44
60,250.72,252.42
61,92.65,92.18
62,93.64,93.66
63,320.19,320.09
64,104.17,103.2
65,130.29,129.18
66,130.14,130.27
67,163.07,164.15
68,100.91,101.36
69,107.41,108.23
70,117.09,115.63
71,100.51,101.0
72,123.66,124.7
73,202.32,202.87
74,107.42,107.43
75,107.36,106.06
76,107.32,108.73
77,113.73,113.75
78,120.41,120.48
79,280.86,281.36
80,118.8,118.84
81,94.19,93.86
82,343.74,343.92
83,127.07,127.65
84,167.8,167.17
85,165.97,166.07
86,94.21,93.85
87,100.75,101.04
88,297.34,297.39
89,102.61,102.36
90,149.27,149.98
91,96.25,97.21
92,109.47,108.58
93,96.37,95.82
94,76.34,76.2
95,106.98,106.78
96,132.96,133.31
97,289.85,291.15
98,137.16,138.05
99,212.53,212.08
100,165.64,167.16
101,150.56,149.31
102,97.41,98.12
103,289.32,289.31
104,153.6,152.7
105,130.38,130.4
106,120.41,121.19
107,113.91,114.93
108,110.92,112.06
109,176.34,175.87
110,123.4,123.55
111,139.87,139.5
112,113.77,113.03
113,110.83,111.38
114,107.19,108.51
115,123.73,122.76
116,402.37,402.02
117,149.84,148.92
118,110.99,111.99
119,116.93,118.42
120,185.84,184.59
121,146.07,145.89
122,126.7,126.69
123,129.98,129.07
124,100.63,101.26
125,120.31,120.92
126,116.96,117.21
127,126.91,125.46
128,212.21,211.11
129,113.66,113.15
130,107.24,107.82
131,113.99,115.01
132,110.69,110.73
133,162.8,163.46
134,113.83,113.8
135,113.68,112.16
136,198.78,200.02
137,153.25,151.77
138,149.62,150.15
139,151.8,151.84
140,114.05,112.93
141,189.22,189.37
142,156.61,156.51
143,179.01,180.45
144,60.2,59.24
145,178.94,178.46
146,139.94,140.38
147,130.0,130.69
148,113.49,113.53
149,106.99,107.18
150,378.45,378.15
151,129.97,130.56
152,166.13,166.63
153,285.24,285.29
154,124.24,125.27
155,131.22,132.15
156,131.16,129.66
157,157.29,157.4
158,196.65,197.1
159,216.28,214.8
160,180.8,180.25
161,1547.36,1547.22
-1,23928.218258333327,23947.705528888888
