trip,median,mean
0,53.71,53.7
1,53.57,52.1
2,168.15,168.65
3,53.72,53.34
4,53.69,53.66
5,56.94,57.59
6,60.2,61.36
7,63.5,62.98
8,63.51,63.63
9,70.09,69.94
10,66.87,68.36
11,56.94,56.37
12,106.04,105.07
13,63.47,63.5
14,139.01,140.28
15,53.5,53.25
16,56.89,57.0
17,56.87,57.31
18,92.87,94.04
19,60.14,59.58
20,125.64,125.54
21,53.56,53.35
22,50.31,49.97
23,50.23,51.35
24,56.81,56.18
25,746.81,745.96
26,59.51,61.12
27,49.69,50.92
28,49.66,49.02
29,49.6,50.42
30,62.78,63.45
31,56.24,56.6
32,63.11,63.68
33,59.58,58.71
34,59.47,58.77
35,49.73,49.53
36,52.98,51.48
37,82.46,82.46
38,59.52,60.95
39,72.69,73.05
40,124.98,125.05
41,49.77,49.79
42,121.79,121.51
43,46.49,45.51
44,49.75,49.11
45,53.0,52.03
46,269.39,269.99
47,116.83,116.68
48,87.41,87.54
49,93.95,94.98
50,97.36,95.95
51,143.33,143.03
52,147.18,148.3
53,87.4,86.55
54,97.08,95.64
55,87.36,88.91
56,84.1,85.64
57,157.54,157.6
58,113.41,114.96
59,116.91,115.61
60,107.01,106.19
61,87.33,85.92
62,182.42,181.1
63,310.03,311.64
64,195.49,196.55
65,152.83,153.01
66,185.75,186.2
67,260.8,260.7
68,96.48,95.32
69,110.69,109.43
70,97.48,98.89
71,110.6,109.45
72,109.0,109.07
73,169.41,170.4
74,112.32,112.39
75,117.22,116.6
76,103.87,102.39
77,123.78,123.23
78,175.93,176.78
79,120.36,119.98
80,100.92,100.16
81,120.41,119.16
82,130.16,128.8
83,215.38,217.07
84,450.94,451.82
85,103.79,103.69
86,97.39,96.43
87,159.52,160.15
88,260.92,262.34
89,102.35,102.42
90,99.68,100.66
91,152.07,152.11
92,194.36,194.38
93,99.64,101.19
94,99.52,98.77
95,112.74,113.96
96,139.03,137.85
97,100.42,101.76
98,146.25,146.53
99,330.59,331.65
100,163.83,163.08
101,1473.72,1475.23
102,484.39,483.28
103,368.3,368.42
104,133.72,133.09
105,186.17,185.94
106,140.16,141.13
107,110.53,110.82
108,189.48,189.42
109,130.26,131.38
110,313.63,313.68
111,153.45,152.71
112,212.47,211.75
113,130.7,130.34
114,267.91,269.18
115,189.25,189.33
116,110.62,112.01
117,149.74,148.78
118,123.84,122.84
119,209.57,208.77
120,208.73,207.77
121,159.48,159.57
122,100.4,100.7
123,120.44,121.96
124,127.03,126.83
125,176.34,176.53
126,143.22,144.46
127,120.27,119.66
128,123.86,122.31
129,156.35,155.88
130,130.34,128.92
131,189.02,189.48
132,140.1,141.05
133,163.04,162.0
134,371.83,370.65
135,252.8,252.62
136,172.91,172.06
137,134.03,133.82
138,66.59,65.51
139,55.13,55.15
140,69.86,71.29
141,60.01,58.66
142,109.29,108.9
143,166.19,165.8
144,116.79,118.16
145,133.15,133.38
146,123.48,122.88
147,106.98,107.73
148,114.06,114.05
149,118.32,119.71
150,104.54,104.27
151,107.9,108.73
152,147.26,146.36
153,199.64,198.79
154,124.77,125.3
155,144.42,145.5
-1,21950.266595833324,21952.361086666657
