trip,median,mean
0,60.12,60.14
1,73.24,73.63
2,175.96,176.04
3,60.21,61.07
4,50.1,49.89
5,66.57,66.76
6,63.32,63.71
7,63.3,63.53
8,63.33,62.79
9,56.93,55.37
10,112.36,113.07
11,63.41,62.39
12,218.79,217.74
13,70.67,69.34
14,140.69,140.48
15,90.61,92.06
16,159.32,159.69
17,127.74,127.72
18,83.94,85.18
19,87.27,87.75
20,188.9,188.73
21,163.54,162.8
22,93.96,93.81
23,93.87,94.03
24,87.35,88.07
25,84.28,83.82
26,87.26,86.63
27,257.62,258.12
28,103.8,103.88
29,146.35,147.85
30,127.42,126.92
31,60.91,60.94
32,97.12,96.5
33,87.23,88.8
34,256.32,257.2
35,107.07,107.83
36,93.84,92.91
37,93.83,94.83
38,74.12,75.68
39,188.81,189.4
40,339.38,337.95
41,126.61,125.47
42,90.6,89.4
43,110.39,109.0
44,84.12,82.89
45,142.9,142.84
46,90.51,92.01
47,83.96,83.42
48,106.92,108.38
49,205.33,204.66
50,156.12,156.14
51,90.84,91.42
52,94.12,94.13
53,97.28,98.09
54,94.08,94.9
55,139.79,140.8
56,97.14,96.65
57,260.86,259.55
58,67.52,68.86
59,100.37,99.07
60,91.61,91.68
61,118.85,117.5
62,113.36,113.44
63,116.86,115.93
64,36.24,36.29
65,72.16,72.58
66,141.91,142.72
67,46.01,46.84
68,49.25,49.51
69,46.01,46.31
70,75.53,74.62
71,124.9,125.01
72,16.47,15.08
73,72.29,71.73
74,123.58,122.69
75,103.96,103.78
76,113.73,114.0
77,110.48,111.09
78,179.27,179.68
79,110.58,110.4
80,113.78,113.18
81,107.09,107.15
82,136.57,136.66
83,175.73,175.78
84,87.49,88.72
85,110.43,110.62
86,116.98,115.74
87,139.7,140.65
88,162.65,164.13
89,113.8,114.39
90,326.22,326.83
91,105.46,105.51
92,113.9,112.87
93,162.72,164.13
94,257.56,257.91
95,113.66,114.68
96,210.16,211.58
97,120.47,119.28
98,97.17,96.5
99,100.46,99.55
100,189.64,189.73
101,70.04,70.74
102,73.35,72.48
103,148.71,147.78
104,106.23,105.82
105,102.82,102.08
106,66.73,68.09
107,66.76,65.75
108,146.11,146.2
109,138.75,138.72
110,234.59,235.34
111,188.75,188.21
112,137.18,136.18
113,304.0,302.7
114,123.12,122.14
115,123.37,122.49
116,173.44,173.62
117,129.7,129.69
118,175.69,176.19
119,117.11,117.18
120,77.57,77.94
121,166.26,165.13
122,192.44,193.06
123,136.99,137.02
124,120.45,121.59
125,113.65,113.44
126,136.66,136.19
127,198.93,198.42
128,185.85,184.52
129,224.85,224.94
130,176.04,176.94
131,182.73,183.58
132,244.73,245.29
133,125.34,125.36
134,123.58,122.99
135,106.95,105.61
136,110.33,110.9
137,120.2,120.68
138,113.86,114.35
139,130.27,130.36
140,133.26,133.27
141,83.95,84.62
142,156.2,156.39
143,103.75,103.41
144,103.69,103.77
145,169.14,169.63
146,90.64,91.35
147,187.28,187.26
148,123.45,123.43
149,169.18,169.97
150,123.45,124.42
151,141.89,140.78
152,66.63,67.31
153,69.94,68.63
154,83.13,84.02
155,330.26,329.91
156,103.72,102.3
157,113.45,114.06
158,113.5,112.56
159,172.55,173.97
160,113.5,114.94
161,106.93,108.58
162,188.76,188.7
163,113.37,113.94
164,456.66,455.42
165,319.34,317.82
166,103.79,103.46
167,113.58,114.65
168,156.1,157.23
169,110.31,110.6
170,107.02,107.74
171,172.35,171.54
172,93.99,94.61
173,80.77,80.29
174,77.37,77.73
175,198.61,198.32
176,185.81,185.89
177,149.82,149.08
178,113.75,113.69
179,193.39,194.63
180,154.17,155.73
181,106.45,106.38
182,104.79,103.78
-1,23658.831345833332,23664.73925527777
