trip,median,mean
0,267.03,267.22
1,98.58,98.71
2,158.88,158.85
3,139.29,139.16
4,108.14,107.9
5,68.66,68.54
6,59.32,58.19
7,214.13,213.2
8,143.46,142.32
9,100.71,102.36
10,146.67,145.59
11,75.24,76.39
12,184.28,185.71
13,285.45,287.0
14,101.57,101.31
15,111.44,112.15
16,101.7,100.21
17,118.28,119.79
18,187.27,186.29
19,101.42,101.29
20,107.96,108.79
21,171.08,171.46
22,128.2,127.49
23,111.77,111.02
24,151.02,149.99
25,114.96,114.75
26,193.85,193.59
27,131.46,133.01
28,318.19,317.36
29,131.13,131.58
30,250.12,249.18
31,95.14,94.62
32,108.51,109.53
33,124.79,126.58
34,190.55,189.99
35,118.34,119.48
36,591.93,593.21
37,213.49,213.92
38,121.43,122.53
39,121.41,122.8
40,134.51,135.39
41,151.06,151.43
42,207.04,207.07
43,130.94,130.92
44,124.54,124.14
45,114.92,116.21
46,127.77,126.69
47,190.21,189.23
48,291.93,292.94
49,118.51,118.4
50,121.63,122.68
51,134.7,134.38
52,210.06,209.33
53,191.01,191.74
54,190.27,190.38
55,124.74,124.23
56,180.78,181.59
57,118.52,117.66
58,95.19,94.36
59,194.22,195.07
60,128.2,126.82
61,197.18,196.48
62,111.87,112.7
63,131.55,130.12
64,78.29,77.7
65,209.53,208.93
66,226.12,226.58
67,200.2,200.5
68,374.47,374.76
69,121.51,121.3
70,185.43,185.53
71,223.11,222.98
72,147.15,148.05
73,111.37,112.59
74,399.71,399.01
75,144.43,144.32
76,117.89,116.49
77,134.32,133.98
78,163.83,162.93
79,150.7,150.18
80,204.79,205.06
81,132.86,132.97
82,242.68,241.78
83,336.35,335.7
84,114.7,114.06
85,177.19,175.86
86,111.35,110.3
87,124.26,124.96
88,107.49,108.99
89,108.19,108.58
90,114.74,116.29
91,200.09,199.3
92,137.43,136.27
93,124.36,123.26
94,119.41,119.58
95,171.03,170.42
96,124.51,123.51
97,104.83,106.16
98,232.09,233.73
99,121.34,120.81
100,133.09,133.03
101,150.78,150.96
102,73.37,72.87
103,66.65,67.35
104,56.82,55.46
105,66.64,66.59
106,207.82,209.42
107,46.99,47.53
108,50.17,49.6
109,56.72,55.33
110,56.83,58.1
111,53.57,54.28
112,50.15,51.62
113,73.27,71.86
114,181.83,181.82
115,60.24,59.87
116,56.85,55.97
117,53.84,52.59
118,47.21,48.46
119,57.04,55.51
120,81.61,81.58
121,53.72,54.41
122,63.61,62.71
123,188.41,189.29
124,76.58,76.54
125,56.8,56.93
126,198.16,197.84
127,119.45,118.76
128,53.52,53.04
129,53.57,54.62
130,70.01,70.46
131,58.68,58.58
132,56.77,56.39
133,80.0,80.5
134,70.02,69.11
135,73.27,74.93
136,60.28,58.87
137,148.67,149.66
138,204.47,204.71
139,79.91,79.14
140,79.99,80.31
141,63.56,63.0
142,63.69,63.14
143,135.77,137.39
144,60.4,61.95
145,83.47,81.94
146,63.64,62.63
147,80.19,79.84
148,60.4,60.5
149,57.12,58.36
150,125.85,124.92
151,218.11,219.68
152,60.46,59.77
153,60.51,60.05
154,217.86,216.88
155,57.02,57.44
156,56.95,57.8
157,53.67,55.3
158,70.12,71.62
159,66.89,65.9
160,56.89,58.08
161,86.56,86.63
162,67.08,68.51
163,108.22,108.14
164,124.66,123.26
165,127.83,126.99
166,269.12,268.95
167,114.84,115.2
168,111.67,111.09
169,331.61,332.31
170,146.2,146.12
171,115.0,113.87
172,160.92,160.34
173,518.52,518.97
174,104.84,106.21
175,117.89,118.92
176,125.72,124.88
177,81.41,80.63
178,94.82,95.54
179,337.79,338.77
180,114.85,115.72
181,183.64,184.94
182,130.73,132.09
183,53.64,52.25
184,63.48,64.79
185,73.15,71.85
186,50.2,50.08
187,106.1,106.26
188,56.73,55.44
189,53.61,52.68
190,53.58,53.61
191,46.89,48.55
192,56.81,55.93
193,63.44,63.69
194,63.35,64.77
195,145.53,144.89
196,50.08,50.29
197,50.18,51.81
198,53.43,52.97
199,73.06,72.39
200,53.45,52.55
201,53.43,53.99
202,53.48,52.27
203,47.06,47.6
204,46.88,46.66
205,125.65,125.54
206,50.13,51.33
207,63.29,63.44
208,138.52,139.15
209,97.14,97.9
210,102.83,103.61
211,43.62,43.77
212,240.05,239.36
213,50.42,50.0
214,53.63,54.81
215,83.14,81.84
216,50.47,51.15
217,66.74,67.18
218,53.55,54.82
219,53.65,53.46
220,47.15,47.06
221,46.98,45.81
222,50.37,51.22
223,53.62,55.12
224,50.27,49.03
225,60.17,59.88
226,58.4,58.47
227,217.73,218.14
228,159.47,161.1
229,59.95,61.22
230,60.08,60.77
231,70.06,70.83
232,122.52,123.53
233,50.27,49.86
234,194.65,196.04
235,132.38,132.8
236,145.51,147.12
237,194.43,195.11
238,142.43,142.52
239,152.37,152.95
240,168.96,167.73
241,188.43,188.12
242,214.64,216.07
243,148.76,147.58
244,158.84,159.83
245,244.43,244.53
246,158.79,159.31
247,162.16,161.52
248,224.4,224.95
249,158.87,158.41
-1,31437.250816666674,31456.53206500001
