trip,median,mean
0,126.2,126.02
1,66.42,65.16
2,42.68,43.61
3,292.49,294.02
4,94.36,93.57
5,91.34,92.31
6,159.69,160.11
7,94.28,93.63
8,241.43,250.39
9,150.42,150.62
10,117.16,117.68
11,300.72,299.35
12,81.4,82.84
13,78.2,77.67
14,307.72,308.89
15,94.51,95.76
16,81.23,81.11
17,110.73,110.56
18,114.25,115.31
19,107.63,106.77
20,211.3,211.56
21,90.95,91.97
22,94.26,95.75
23,1357.67,1363.02
24,126.95,127.53
25,166.44,165.12
26,97.66,96.8
27,137.05,136.54
28,241.77,245.72
29,174.6,174.56
30,104.02,103.1
31,100.66,100.43
32,107.47,108.06
33,167.76,167.36
34,94.31,94.83
35,221.77,221.7
36,113.87,113.06
37,129.94,131.36
38,93.35,94.54
39,60.24,59.12
40,60.27,60.92
41,76.66,76.95
42,66.82,65.77
43,106.22,106.18
44,63.56,62.54
45,63.63,63.45
46,66.94,68.13
47,76.66,75.16
48,70.19,70.45
49,152.48,155.36
50,63.59,62.87
51,73.48,73.72
52,73.56,73.29
53,67.02,65.57
54,70.22,70.58
55,66.96,66.14
56,63.7,64.79
57,67.02,67.04
58,142.21,143.77
59,63.68,64.21
60,66.97,67.07
61,355.3,366.32
62,83.29,83.69
63,46.22,48.86
64,170.24,169.48
65,110.23,109.35
66,244.98,245.38
67,399.0,401.37
68,168.77,169.73
69,99.63,99.17
70,155.37,156.94
71,204.54,205.83
72,110.63,110.65
73,113.79,112.92
74,130.21,130.49
75,117.24,117.25
76,117.01,116.76
77,182.89,183.59
78,127.28,126.4
79,126.88,126.8
80,287.47,317.35
81,143.01,153.86
82,303.06,313.02
83,123.5,127.79
84,185.77,185.6
85,107.04,105.94
86,103.79,103.41
87,314.66,327.03
88,113.36,112.09
89,139.88,141.54
90,140.08,141.69
91,126.86,127.63
92,123.8,123.26
93,123.66,122.21
94,172.73,171.91
95,251.03,251.8
96,100.37,101.18
97,208.67,207.79
98,113.64,112.31
99,90.66,90.88
100,241.33,242.94
101,117.01,117.16
102,133.51,132.37
103,120.38,119.82
104,192.94,192.28
105,1729.46,1750.03
106,127.73,128.09
107,109.55,109.66
108,180.08,178.61
109,127.82,128.54
110,212.88,212.11
111,140.83,140.54
-1,18036.826987500004,18162.835571111096
