trip,median,mean
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,810.13,808.94
6,91.47,90.6
7,78.4,78.73
8,166.6,167.25
9,94.73,95.6
10,98.0,97.02
11,107.8,106.93
12,199.27,198.18
13,238.47,238.03
14,101.27,100.94
15,212.33,212.99
16,98.0,98.33
17,173.13,173.46
18,101.27,102.36
19,189.47,190.23
20,91.47,91.36
21,88.2,87.0
22,94.73,94.95
23,91.47,91.47
24,91.47,92.34
25,104.53,103.77
26,98.0,97.13
27,101.27,99.74
28,176.4,176.4
29,88.2,87.76
30,326.67,327.43
31,114.33,114.66
32,93.1,93.1
33,245.0,245.54
34,173.13,173.13
35,117.6,117.38
36,107.8,107.8
37,104.53,105.62
38,153.53,153.1
39,94.73,95.17
40,117.6,117.27
41,127.4,128.16
42,94.73,95.82
43,94.73,94.73
44,908.13,907.48
45,147.0,148.52
46,104.53,104.97
47,199.27,199.7
48,251.53,252.3
49,169.87,169.76
50,375.67,375.99
51,173.13,173.9
52,114.33,113.14
53,169.87,168.67
54,1437.33,1437.44
55,117.6,117.16
56,245.0,245.11
57,114.33,115.1
58,225.4,226.05
59,120.87,122.17
60,114.33,115.2
61,169.87,170.74
62,248.27,246.74
63,166.6,166.38
64,94.73,93.86
65,117.6,118.36
66,101.27,101.92
67,133.93,133.93
68,117.6,116.51
69,104.53,104.53
70,101.27,100.61
71,124.13,125.22
72,189.47,188.7
73,111.07,110.74
74,3926.53,3927.3
-1,16446.033333333446,16448.646666666777
