trip,median,mean
0,57.04,56.95
1,50.07,49.31
2,129.92,131.06
3,120.18,118.87
4,97.22,98.56
5,117.01,118.49
6,149.69,148.81
7,159.45,158.98
8,113.66,114.9
9,93.86,93.13
10,389.37,388.78
11,93.9,93.93
12,87.34,85.9
13,100.37,101.38
14,169.11,167.88
15,126.61,125.25
16,224.66,226.09
17,145.96,146.27
18,103.81,105.27
19,293.47,294.13
20,1264.37,1263.12
21,80.18,80.46
22,180.19,179.42
23,104.03,103.04
24,107.35,108.07
25,110.61,110.56
26,104.1,102.94
27,179.48,178.43
28,100.74,100.45
29,110.7,109.23
30,246.52,246.24
31,102.96,102.83
32,142.47,142.08
33,103.16,103.99
34,69.92,70.55
35,122.51,123.16
36,93.17,92.0
37,202.19,201.16
38,130.75,131.49
39,110.75,111.32
40,114.04,112.48
41,311.65,312.12
42,195.93,196.76
43,107.15,107.93
44,110.75,111.77
45,113.8,115.32
46,120.24,118.91
47,113.81,115.31
48,113.78,114.64
49,156.45,156.57
50,401.5,400.87
51,85.99,86.36
52,140.2,140.49
53,83.28,84.58
54,215.03,214.89
55,123.5,122.06
56,116.85,116.68
57,110.33,110.43
58,198.66,200.07
59,322.98,322.94
60,123.61,124.18
61,179.21,178.24
62,113.58,114.62
63,185.73,186.93
64,90.73,89.84
65,143.32,142.02
66,169.23,167.79
67,105.57,105.52
68,110.6,109.38
69,157.07,158.11
70,230.81,230.45
71,172.89,173.01
72,114.0,115.39
73,106.96,107.6
74,267.6,267.6
75,137.34,138.34
76,196.57,196.58
77,176.96,176.68
78,97.62,98.37
79,160.03,158.95
80,101.08,102.48
81,153.53,152.46
82,114.05,113.67
83,87.84,88.55
84,133.66,135.01
85,169.62,169.74
86,94.27,94.02
87,235.11,235.74
88,100.82,102.3
89,120.7,120.48
90,104.32,103.82
91,97.64,97.6
92,225.27,226.42
93,97.53,96.45
94,241.7,240.3
95,111.3,112.92
96,104.57,104.36
97,166.94,165.91
98,173.5,174.26
99,107.83,107.85
100,104.66,103.26
101,127.62,127.29
102,176.63,175.55
103,141.42,142.01
104,157.38,157.94
105,118.31,119.72
106,131.44,131.57
107,203.37,204.95
108,154.39,154.52
-1,16840.712987500003,16846.416731944457
