trip,median,mean
0,50.29,50.28
1,56.88,57.0
2,174.73,176.25
3,53.51,53.17
4,56.94,57.35
5,56.83,56.59
6,70.01,69.24
7,50.31,50.0
8,56.87,57.07
9,232.01,230.8
10,107.61,108.86
11,100.72,102.36
12,166.3,165.99
13,97.41,96.18
14,310.07,310.86
15,576.77,576.81
16,138.96,140.03
17,122.82,123.32
18,89.68,88.41
19,115.55,116.22
20,83.06,81.74
21,73.22,72.15
22,96.08,96.84
23,522.07,521.26
24,83.2,83.36
25,152.2,152.81
26,239.29,239.79
27,103.84,103.92
28,100.73,101.99
29,100.49,98.99
30,133.84,134.93
31,120.64,122.15
32,117.45,117.7
33,169.83,169.63
34,123.87,123.41
35,189.23,188.88
36,120.51,119.44
37,153.24,152.95
38,205.67,205.71
39,114.05,113.54
40,202.43,203.17
41,120.37,119.68
42,173.16,172.38
43,127.15,126.53
44,199.03,199.14
45,172.93,172.5
46,169.58,169.36
47,333.38,332.75
48,127.15,127.1
49,225.45,225.82
50,238.42,238.11
51,117.04,117.45
52,208.58,209.0
53,138.51,138.61
54,192.53,192.58
55,356.05,357.68
56,153.06,152.04
57,130.09,128.72
58,143.4,143.32
59,156.31,155.19
60,231.86,231.58
61,103.77,103.87
62,120.37,121.37
63,116.99,116.53
64,103.9,104.9
65,152.72,151.33
66,86.35,85.81
67,178.86,180.19
68,113.64,114.49
69,107.12,106.43
70,120.22,119.53
71,172.46,172.83
72,126.57,127.44
73,106.94,107.15
74,121.76,121.87
75,107.26,108.83
76,113.58,115.03
77,123.65,123.78
78,90.76,91.42
79,90.69,90.37
80,100.52,100.5
81,149.85,149.31
82,261.34,261.81
83,281.09,280.41
84,127.14,125.72
85,129.8,130.59
86,162.44,162.53
87,333.32,333.42
88,215.31,214.08
89,97.19,97.09
90,316.76,317.47
91,120.63,119.64
92,244.36,245.72
93,169.44,170.37
94,108.44,108.5
95,143.03,143.01
96,149.97,150.67
97,163.22,163.12
98,120.76,121.28
99,101.12,101.35
100,150.01,148.72
101,120.84,119.55
102,107.82,108.09
103,94.41,96.0
104,424.76,425.88
105,114.62,115.18
106,157.18,157.53
107,153.86,152.81
108,199.53,198.79
109,150.9,150.96
110,177.26,176.28
111,137.73,138.76
112,213.07,212.05
113,121.26,122.14
-1,17679.857429166663,17683.195365833333
