trip,median,mean
0,223.0,223.06
1,107.01,108.6
2,165.89,164.91
3,113.63,115.12
4,87.21,86.72
5,83.96,83.3
6,80.73,80.72
7,87.1,88.1
8,162.55,163.38
9,133.01,131.66
10,902.51,902.4
11,229.14,229.21
12,107.06,107.69
13,1187.5,1187.88
14,80.51,81.13
15,87.15,86.61
16,159.13,160.53
17,116.62,115.14
18,113.35,112.34
19,80.5,80.04
20,1042.64,1042.98
21,317.58,318.48
22,97.0,95.61
23,1785.38,1786.82
24,103.62,104.74
25,206.73,206.8
26,113.5,114.21
27,270.82,270.14
28,116.82,118.29
29,94.01,95.53
30,177.3,176.47
31,169.36,169.54
32,100.34,100.35
33,97.4,97.49
34,90.53,91.0
35,110.54,110.7
36,185.82,187.38
37,103.78,102.6
38,166.05,164.89
39,335.08,334.8
40,97.19,97.15
41,90.65,90.06
42,97.06,97.91
43,93.94,95.59
44,97.27,98.74
45,139.67,140.67
46,134.14,134.56
47,117.12,117.79
48,97.26,97.3
49,126.69,125.45
50,179.87,179.48
51,110.42,109.69
52,103.84,102.53
53,100.52,100.43
54,1069.89,1070.58
55,154.7,155.04
56,79.57,78.16
57,79.57,78.73
58,76.15,75.56
59,86.11,86.75
60,109.64,109.12
61,76.32,77.65
62,82.84,81.76
63,313.69,312.47
64,150.07,150.47
65,126.21,127.14
66,83.18,84.44
67,433.45,434.82
68,149.22,148.21
69,100.11,100.61
70,96.79,96.41
71,103.49,104.29
72,86.78,87.05
73,142.55,142.04
74,121.37,121.49
75,210.73,210.73
76,113.21,113.33
77,137.04,137.8
78,140.26,141.89
79,174.95,174.47
80,89.83,90.73
81,168.29,167.25
82,90.36,89.18
83,139.22,139.14
84,296.75,297.53
85,289.29,290.43
86,156.75,156.11
87,110.56,111.4
88,166.21,165.3
89,113.78,114.2
90,136.71,138.27
91,117.12,117.08
92,126.89,127.17
93,192.05,191.79
94,139.83,141.11
95,143.08,143.16
96,159.61,158.79
97,267.73,266.37
98,379.08,380.56
99,156.38,155.88
100,190.5,190.56
101,126.65,125.44
102,149.75,148.41
103,87.04,88.39
104,304.44,304.54
105,162.44,162.58
106,103.27,104.03
107,93.66,93.89
108,119.69,118.32
109,96.77,97.79
110,191.98,190.56
111,126.39,125.24
112,177.02,176.95
113,133.71,132.81
114,189.49,189.28
115,199.25,198.31
116,104.34,103.7
117,120.62,120.62
118,196.02,195.84
119,104.51,105.8
120,432.83,432.9
121,196.3,196.13
122,144.14,144.09
123,134.18,134.28
124,137.57,136.6
125,147.41,147.99
126,153.93,154.8
127,147.39,147.1
-1,23986.192195833326,23994.11199055553
