trip,median,mean
0,63.5,63.57
1,66.86,66.92
2,50.22,49.36
3,46.91,48.44
4,102.56,101.6
5,56.7,56.62
6,56.78,56.02
7,56.77,56.8
8,50.18,50.12
9,50.25,50.16
10,73.13,73.41
11,50.29,49.4
12,53.55,55.15
13,56.74,55.93
14,56.83,57.45
15,125.86,127.11
16,53.54,54.35
17,56.78,57.65
18,60.12,59.08
19,230.23,231.04
20,56.8,57.72
21,53.62,52.34
22,140.34,140.38
23,53.52,52.8
24,50.23,49.18
25,53.5,54.7
26,164.86,163.63
27,53.64,53.34
28,53.67,52.12
29,66.77,65.34
30,60.16,58.63
31,63.31,64.59
32,51.88,51.96
33,56.84,57.19
34,50.24,50.48
35,53.58,54.59
36,105.91,106.4
37,56.85,57.94
38,159.92,159.94
39,56.77,55.7
40,56.79,55.43
41,60.1,60.11
42,60.21,60.43
43,63.38,61.99
44,125.51,125.9
45,60.13,60.47
46,60.17,60.11
47,105.99,105.9
48,56.9,56.66
49,60.11,59.51
50,60.15,61.66
51,63.43,64.94
52,56.85,56.62
53,56.9,57.74
54,125.56,125.14
55,60.16,60.57
56,50.03,48.52
57,62.76,64.3
58,59.46,59.62
59,59.57,59.56
60,49.66,49.51
61,59.53,60.18
62,79.21,77.87
63,62.84,61.54
64,72.62,72.33
65,111.89,110.39
66,52.95,54.55
67,39.92,41.01
68,39.92,41.47
69,46.44,47.46
70,43.25,44.54
71,46.47,45.4
72,59.56,61.11
73,53.03,52.85
74,62.84,62.23
75,46.45,46.91
76,76.82,76.35
77,69.85,69.64
78,284.06,284.74
79,133.48,133.08
80,110.47,111.62
81,156.39,155.36
82,123.82,122.73
83,160.7,160.64
84,87.47,88.8
85,141.13,141.36
86,136.59,136.58
87,87.37,88.37
88,185.68,186.18
89,104.0,103.23
90,265.95,265.98
91,106.94,105.93
92,543.19,543.75
93,107.13,106.5
94,100.55,100.38
95,149.74,149.79
96,195.62,195.28
97,110.45,110.4
98,46.43,45.74
99,133.45,132.34
100,1103.06,1103.68
101,120.57,121.8
102,113.98,113.77
103,107.09,106.6
104,153.21,153.55
105,162.7,162.36
106,107.34,106.29
107,274.23,273.12
108,107.35,107.4
109,97.44,95.99
110,107.14,108.35
111,173.67,174.51
112,110.74,111.9
113,114.11,112.75
114,186.21,186.36
115,100.8,99.33
116,94.24,93.78
117,113.86,115.37
118,103.98,104.68
119,169.62,170.33
120,73.21,73.18
121,230.31,231.17
122,66.49,66.03
123,56.57,57.27
124,86.17,86.55
125,253.66,252.98
126,99.36,100.83
127,56.76,58.17
128,184.2,185.55
129,403.97,405.73
130,112.91,113.4
131,155.42,156.96
132,89.66,89.91
133,134.54,133.38
134,86.48,86.32
135,140.3,139.9
136,123.78,124.0
137,110.88,112.27
138,153.45,151.86
139,222.02,222.32
140,120.55,119.64
141,114.12,114.42
142,332.49,331.88
143,133.61,134.63
144,110.84,109.72
145,113.88,112.85
146,114.03,114.08
147,117.36,116.87
148,133.5,134.0
149,126.83,126.37
150,199.04,200.06
151,123.77,123.7
152,172.86,174.07
153,130.21,129.41
154,130.7,129.4
155,467.67,468.11
156,110.63,110.66
157,133.51,133.11
158,107.14,106.56
159,127.01,126.09
160,169.18,168.37
161,120.47,120.77
162,176.28,177.61
163,120.52,121.62
164,105.81,105.85
165,215.01,214.48
166,127.11,126.54
167,280.76,279.59
168,117.1,116.6
169,189.15,187.95
170,127.29,125.85
171,53.27,54.74
172,149.89,150.93
173,182.45,181.95
174,126.53,126.91
175,208.51,208.76
176,107.01,107.17
177,162.51,162.03
178,188.87,190.27
179,130.01,130.06
180,116.86,116.29
181,120.04,120.3
182,185.72,186.27
183,225.02,225.07
184,130.15,130.12
185,110.06,108.93
186,113.5,114.37
187,352.39,351.0
188,113.94,113.02
189,116.91,117.5
190,159.49,160.88
191,130.6,129.38
192,110.47,111.38
193,103.85,102.62
194,124.01,125.48
195,93.78,94.02
196,127.56,127.59
197,117.72,118.87
198,131.31,131.35
199,202.89,204.17
200,399.24,400.32
201,131.22,131.93
202,124.72,123.35
203,200.25,199.61
204,216.24,217.18
205,206.52,206.63
206,256.09,256.22
207,151.26,150.76
208,455.54,455.51
209,124.76,125.47
210,171.07,172.46
211,164.21,165.31
-1,26914.56535,26925.21806694443
