trip,median,mean
0,300.24,300.31
1,143.13,141.8
2,107.19,108.35
3,206.62,205.13
4,146.53,147.74
5,83.25,83.0
6,3834.71,3834.26
7,343.42,342.24
8,156.09,154.82
9,117.22,118.37
10,113.78,112.89
11,110.68,110.52
12,176.01,175.28
13,107.34,108.59
14,107.27,107.02
15,176.0,176.23
16,110.47,111.51
17,66.82,66.3
18,106.1,105.52
19,226.01,224.74
20,97.12,96.57
21,103.53,103.66
22,169.06,167.86
23,123.15,124.71
24,110.09,111.64
25,147.15,147.55
26,179.47,180.39
27,208.81,207.65
28,110.5,111.16
29,4641.0,4641.38
30,261.48,262.56
31,172.54,174.03
32,66.66,66.24
33,127.68,127.81
34,222.14,223.47
35,104.24,104.44
36,245.05,246.62
37,114.19,113.58
38,156.64,156.72
39,101.13,102.34
40,97.65,97.36
41,143.47,144.74
42,94.44,94.35
43,238.44,238.65
44,94.47,95.63
45,143.82,144.93
46,107.62,108.23
47,101.07,101.15
48,104.59,104.77
49,176.14,176.5
50,235.48,234.91
51,163.7,163.06
-1,15901.414700000167,15909.24675916683
