trip,median,mean
0,69.71,69.74
1,119.94,121.28
2,280.73,286.13
3,203.93,205.38
4,158.26,169.28
5,110.93,110.95
6,152.93,153.98
7,100.41,100.19
8,156.26,157.55
9,211.41,211.1
10,116.67,117.45
11,97.05,96.89
12,86.98,88.49
13,93.94,94.43
14,116.69,115.99
15,299.86,307.92
16,130.04,130.28
17,90.19,88.79
18,107.14,106.15
19,126.68,127.54
20,100.49,100.46
21,103.86,105.32
22,107.27,107.2
23,149.82,148.31
24,319.8,332.14
25,195.56,195.65
26,172.43,173.72
27,133.09,134.51
28,126.77,126.46
29,113.81,113.16
30,100.67,101.82
31,126.48,140.2
32,120.21,119.78
33,123.34,124.21
34,134.05,135.48
35,94.3,94.32
36,104.48,105.66
37,136.95,135.91
38,169.55,170.17
39,107.57,107.54
40,254.73,255.75
41,103.98,103.45
42,117.17,116.62
43,100.99,102.19
-1,6147.130779166667,6209.519361944444
