trip,median,mean
0,153.46,153.67
1,136.64,135.54
2,129.8,129.25
3,99.66,99.66
4,120.82,121.37
5,124.07,124.66
6,107.87,108.42
7,179.89,179.89
8,121.04,121.08
9,235.81,235.25
10,153.91,152.9
11,160.17,159.67
12,160.46,159.85
13,209.37,210.5
14,140.94,139.99
15,203.03,203.13
16,114.56,116.14
17,134.14,133.8
18,80.11,79.38
19,104.65,103.39
20,189.69,189.83
21,540.15,539.32
22,183.58,183.53
23,127.53,126.38
24,121.16,122.62
25,103.62,103.64
26,209.84,208.9
27,124.13,124.8
28,117.27,116.14
29,117.7,116.7
30,193.04,193.64
31,124.19,123.62
32,304.12,302.65
33,127.37,127.18
34,111.21,111.85
35,166.45,167.65
36,124.21,124.56
37,160.56,161.21
38,124.26,124.95
39,192.94,192.47
40,117.8,117.97
41,218.9,220.68
42,127.81,126.33
43,150.4,150.26
44,127.05,127.11
45,130.9,132.4
46,193.14,194.14
47,248.56,248.83
48,153.43,153.52
49,133.71,132.61
50,127.28,126.23
51,1884.32,1883.21
52,199.38,200.69
53,141.87,142.09
54,123.93,124.44
55,199.39,199.94
56,112.66,112.62
57,428.59,429.58
58,118.96,119.02
59,124.05,122.97
60,144.33,143.32
61,1303.32,1303.17
62,140.75,141.32
63,53.41,52.41
64,50.05,51.03
65,53.48,52.62
66,66.52,65.38
67,69.64,69.93
68,59.89,61.16
69,199.55,199.85
70,56.59,55.73
71,50.13,49.15
72,246.32,247.41
73,43.4,44.72
74,50.25,51.7
75,43.54,42.29
76,53.36,53.29
77,56.65,55.48
78,63.14,62.66
79,53.31,53.29
80,50.09,51.48
81,66.4,67.21
82,181.12,182.61
83,53.45,52.93
84,63.43,63.58
85,50.31,50.86
86,53.6,53.53
87,115.53,115.0
88,60.0,59.81
89,125.39,126.44
90,135.32,134.76
91,56.71,57.91
92,66.56,67.34
93,207.33,206.31
94,69.92,69.62
95,251.65,253.05
96,114.23,114.6
97,125.94,125.96
98,150.21,150.39
99,104.14,104.65
100,163.34,162.62
101,268.24,267.93
102,195.94,195.25
103,111.46,111.42
104,140.48,140.51
105,110.98,111.78
106,176.3,177.77
107,123.98,123.71
108,114.1,115.69
109,170.11,171.14
110,133.98,134.84
111,180.69,180.63
112,147.16,145.97
113,123.73,123.22
114,101.02,100.21
115,117.29,118.44
116,179.41,179.87
117,117.02,117.88
118,140.54,140.71
119,277.73,276.79
120,40.14,41.73
121,53.42,53.78
122,68.2,68.22
123,46.76,45.51
124,102.39,103.64
125,56.67,57.7
126,59.92,59.02
127,79.46,79.41
128,46.81,48.08
129,115.58,116.69
130,46.8,45.54
131,56.8,57.43
132,35.11,35.22
133,49.94,50.27
134,49.94,50.85
135,40.08,40.85
136,63.11,61.87
137,59.79,60.0
138,99.24,100.62
139,40.12,40.82
140,53.64,53.8
141,50.24,49.84
142,53.2,53.95
143,50.16,50.14
144,63.25,63.56
145,118.8,117.69
146,50.11,51.59
147,50.11,49.08
148,50.2,50.16
149,50.24,51.2
150,125.47,125.89
151,145.4,145.16
152,132.15,133.57
153,209.25,209.31
154,180.23,181.09
155,145.1,143.57
156,161.65,163.15
157,168.29,169.92
158,239.88,238.62
159,253.23,254.14
160,148.38,150.05
-1,23157.286683333325,23176.890608611102
