trip,median,mean
0,50.37,50.35
1,258.29,258.51
2,55.35,55.34
3,57.02,56.21
4,66.79,65.49
5,76.71,77.28
6,63.62,62.16
7,115.99,117.51
8,53.72,55.05
9,112.63,112.65
10,63.57,63.41
11,172.89,173.29
12,57.02,55.95
13,53.72,55.23
14,53.6,53.51
15,112.57,111.16
16,50.32,51.63
17,125.81,126.76
18,53.68,52.34
19,50.28,50.32
20,60.17,61.42
21,56.85,58.28
22,117.01,115.77
23,50.25,51.6
24,57.03,58.04
25,63.41,63.54
26,129.01,130.25
27,110.54,109.12
28,53.51,55.1
29,290.8,291.4
30,56.81,57.79
31,50.24,50.23
32,66.64,67.88
33,66.87,67.44
34,280.64,279.21
35,177.27,177.31
36,76.08,75.02
37,62.88,63.95
38,66.14,64.73
39,59.5,58.45
40,53.11,51.9
41,98.95,97.72
42,69.24,69.39
43,26.43,25.04
44,197.38,198.86
45,130.4,129.5
46,192.24,193.74
47,117.07,115.76
48,89.77,90.34
49,66.86,66.1
50,159.9,161.0
51,110.5,111.54
52,173.05,172.35
53,136.95,137.42
54,117.17,115.65
55,113.73,114.12
56,79.95,80.21
57,106.02,104.66
58,70.1,70.66
59,231.95,232.5
60,204.19,203.7
61,113.68,113.25
62,110.52,109.05
63,107.17,106.15
64,123.5,123.78
65,1153.28,1154.67
66,130.22,130.91
67,120.41,120.39
68,227.28,227.67
69,110.52,110.01
70,237.85,238.4
71,83.17,82.13
72,125.69,126.44
73,66.67,66.84
74,117.03,116.99
75,488.58,487.3
76,207.56,207.62
77,238.63,237.3
78,120.77,120.62
79,114.18,115.32
80,117.58,117.3
81,173.27,174.07
82,111.01,110.98
83,159.81,160.72
84,97.85,99.05
85,94.53,94.55
86,87.72,88.77
87,90.93,91.57
88,97.79,98.04
89,309.84,309.76
90,259.8,260.12
91,337.05,337.35
92,97.65,97.91
93,166.45,167.67
94,260.95,261.73
95,310.26,310.49
96,183.22,184.0
97,110.71,111.14
98,415.34,415.9
-1,13679.030779166662,13688.820075277774
