trip,median,mean
0,60.21,60.22
1,292.81,294.04
2,60.22,59.88
3,56.92,58.45
4,63.52,64.95
5,63.61,63.01
6,66.78,66.32
7,66.72,67.4
8,135.55,137.13
9,101.19,101.17
10,151.94,150.71
11,53.63,53.96
12,56.82,55.89
13,53.6,53.26
14,73.29,73.61
15,86.41,87.8
16,146.16,145.61
17,56.87,57.54
18,50.24,51.81
19,60.22,61.65
20,174.9,173.37
21,56.88,55.81
22,53.56,55.13
23,53.52,55.08
24,53.49,54.55
25,76.51,77.3
26,53.62,53.49
27,125.17,125.15
28,102.71,104.25
29,60.13,59.05
30,56.84,56.32
31,50.27,51.24
32,50.29,51.04
33,70.38,69.88
34,156.14,156.15
35,92.21,92.33
36,80.85,80.49
37,97.49,98.36
38,90.76,90.73
39,100.63,101.77
40,169.34,169.27
41,117.03,117.51
42,192.22,192.17
43,126.71,126.66
44,90.48,89.75
45,80.68,82.22
46,97.2,96.61
47,90.6,89.36
48,182.1,181.23
49,110.24,111.33
50,90.55,89.61
51,97.14,96.06
52,87.27,86.33
53,180.67,180.78
54,93.92,94.1
55,257.69,258.86
56,110.29,110.55
57,87.26,87.9
58,97.18,96.04
59,108.69,108.71
60,435.75,437.42
61,93.94,92.47
62,156.05,155.88
63,93.98,94.5
64,97.33,96.26
65,100.63,100.92
66,107.17,108.58
67,89.94,90.03
68,355.93,355.36
69,364.28,363.31
70,100.98,102.53
71,110.71,111.76
72,146.79,148.07
73,104.16,105.47
74,534.53,535.62
75,89.69,89.69
76,168.63,167.86
77,137.4,136.59
78,196.39,195.98
79,143.96,143.38
80,143.85,144.59
81,143.91,144.15
82,356.39,356.52
83,123.71,122.51
84,123.28,123.38
85,251.57,252.16
86,163.21,162.01
87,113.92,114.53
88,110.9,111.82
89,130.65,130.6
90,172.91,171.91
91,110.45,109.03
92,182.47,183.81
93,104.1,102.87
94,136.74,136.66
95,117.15,118.06
96,186.14,187.43
97,110.51,109.74
98,110.54,111.88
99,136.65,137.21
100,110.3,111.53
101,110.53,110.95
102,126.89,128.15
103,95.84,94.75
104,169.49,170.03
105,240.99,240.52
106,133.21,131.88
107,107.18,108.05
108,107.16,107.59
109,103.7,103.76
110,127.79,128.36
111,189.64,189.89
112,183.45,182.68
113,127.65,127.65
114,147.3,148.27
115,127.81,127.82
116,147.57,148.79
117,190.15,190.34
118,157.33,156.6
119,128.0,127.34
120,144.62,143.66
-1,15514.193337500003,15532.092890833323
