trip,median,mean
0,56.9,56.96
1,191.21,191.85
2,70.11,71.32
3,57.05,55.89
4,63.61,63.13
5,73.42,73.07
6,63.58,62.63
7,60.3,59.19
8,70.04,69.63
9,53.71,54.23
10,115.96,117.52
11,60.24,59.92
12,191.37,192.78
13,56.9,57.78
14,53.65,54.92
15,56.94,55.69
16,1229.83,1229.27
17,63.65,62.83
18,56.87,57.89
19,60.17,59.51
20,50.38,50.99
21,53.6,52.18
22,99.33,99.22
23,60.01,59.84
24,161.79,160.83
25,83.41,82.57
26,289.28,290.01
27,99.39,99.56
28,164.14,164.13
29,117.24,117.25
30,80.26,81.13
31,189.34,189.86
32,107.38,108.05
33,107.27,106.95
34,104.1,105.53
35,117.14,118.48
36,195.65,196.86
37,113.84,114.98
38,261.24,260.28
39,685.63,686.34
40,158.67,158.07
41,89.86,89.74
42,169.54,169.43
43,207.54,207.56
44,257.36,257.78
45,335.91,336.33
46,140.64,140.04
47,153.74,153.22
48,227.13,228.49
49,94.18,95.42
50,140.34,139.87
51,86.82,88.4
52,120.62,119.01
53,121.06,121.14
54,123.92,123.92
55,359.62,359.81
56,107.33,107.65
57,146.65,146.43
58,117.53,116.28
59,140.51,139.45
60,176.16,176.6
61,107.39,108.06
62,104.12,103.98
63,107.22,106.0
64,349.3,349.27
65,288.82,289.86
66,93.9,92.51
67,165.74,164.42
68,116.77,116.1
69,116.86,115.62
70,93.85,92.93
71,113.62,112.98
72,102.01,102.1
73,117.28,117.51
74,123.62,124.96
75,110.54,110.48
76,179.43,178.93
77,113.85,113.49
78,113.83,114.08
79,107.29,107.56
80,136.94,136.33
81,411.5,411.29
82,228.4,227.55
83,215.54,215.11
84,133.63,132.05
85,106.92,105.51
86,125.09,125.22
87,110.81,111.14
88,94.15,94.21
89,110.55,109.01
90,53.22,53.83
91,161.56,160.41
92,126.48,125.38
93,86.36,85.27
94,73.34,74.62
95,70.17,70.93
96,100.47,101.86
97,202.36,200.93
98,123.51,121.95
99,172.59,171.31
100,185.67,187.12
101,189.29,188.07
102,176.08,176.88
103,113.83,115.32
104,127.21,126.64
105,139.78,138.83
106,63.37,64.94
107,63.31,64.9
108,183.92,183.99
109,229.74,229.22
110,108.31,109.75
111,151.26,151.12
112,315.39,314.41
113,164.59,163.68
-1,17001.857016666665,16995.27976111111
