trip,median,mean
0,157.1,157.3
1,223.17,223.96
2,56.14,57.24
3,66.05,67.05
4,128.23,128.47
5,127.65,126.85
6,209.75,211.0
7,111.25,110.99
8,232.79,232.69
9,98.03,97.09
10,259.13,259.9
11,117.85,117.21
12,121.24,121.25
13,150.89,150.03
14,141.32,140.02
15,121.28,122.41
16,184.01,185.64
17,210.03,208.83
18,151.11,151.06
19,124.6,125.58
20,183.7,182.94
21,124.63,124.93
22,252.3,253.96
23,196.78,196.26
24,137.64,136.38
25,3586.43,3585.0
26,177.18,178.1
27,131.23,132.41
28,140.95,140.93
29,140.98,141.1
30,124.69,125.05
31,131.18,130.09
32,193.07,193.08
33,108.22,108.13
34,137.98,137.69
35,229.59,231.22
36,173.53,174.57
37,111.42,112.09
38,376.06,377.64
39,144.73,144.64
40,101.34,101.24
41,88.43,88.49
42,268.64,270.16
43,111.15,112.11
44,111.23,111.32
45,121.23,121.11
46,166.89,167.69
47,443.33,443.65
48,137.4,136.02
49,219.63,218.52
50,130.92,131.64
51,281.62,281.36
52,114.61,113.53
53,153.87,154.41
54,212.68,212.9
55,189.87,190.78
56,114.8,115.39
57,212.46,213.22
58,137.34,136.21
59,130.82,130.93
60,183.13,184.36
61,314.39,315.39
62,114.28,115.53
63,111.22,109.92
64,161.9,163.31
65,66.66,66.39
66,59.98,59.77
67,60.13,61.73
68,46.92,47.16
69,48.46,48.61
70,50.16,50.76
71,50.28,49.24
72,58.41,58.62
73,56.74,57.17
74,50.29,49.91
75,69.96,70.69
76,197.9,199.13
77,52.06,52.14
78,50.39,51.61
79,43.68,44.12
80,56.9,58.31
81,66.89,66.96
82,56.97,58.22
83,53.78,54.96
84,122.65,122.76
85,122.43,123.62
86,76.61,76.78
87,66.68,67.28
88,133.03,134.21
89,59.91,59.65
90,56.68,56.25
91,63.27,64.95
92,92.46,93.78
93,145.37,145.54
94,86.2,86.21
95,69.85,69.53
96,109.31,110.0
97,79.8,78.36
98,86.41,85.08
99,63.56,64.07
100,56.87,57.09
101,129.11,130.34
102,83.35,83.84
103,70.36,71.22
104,69.98,71.03
105,73.47,73.33
106,60.06,60.33
107,66.98,67.0
108,70.13,70.1
109,68.53,68.57
110,161.8,161.14
111,56.92,57.72
112,63.43,64.39
113,220.86,222.62
114,53.54,54.4
115,57.02,57.32
116,53.65,54.5
117,63.52,64.72
118,60.2,61.39
119,63.4,64.05
120,86.44,85.9
121,115.93,115.74
122,63.53,62.33
123,63.33,63.04
124,73.37,73.7
125,63.43,63.06
126,131.12,131.65
127,117.92,118.8
128,131.08,132.05
129,124.67,123.01
130,318.09,316.9
131,118.01,118.18
132,114.4,113.31
133,114.65,114.87
134,111.21,110.95
135,186.56,186.11
136,117.8,116.44
137,121.13,121.57
138,127.8,129.1
139,117.93,119.47
140,180.29,179.38
141,111.48,110.58
142,107.86,106.81
143,130.72,131.41
144,118.11,117.5
145,121.42,122.91
146,114.98,114.23
147,105.16,105.64
148,111.09,110.01
149,111.07,112.08
150,203.05,203.91
151,216.27,217.62
152,124.47,124.78
153,107.95,109.39
154,124.22,123.84
155,897.46,898.86
156,104.62,104.66
157,186.31,187.12
158,124.09,125.13
159,202.88,201.73
160,144.16,144.4
161,186.32,185.61
162,130.83,130.8
163,53.31,54.43
164,46.58,46.99
165,54.85,55.15
166,63.36,63.69
167,112.38,111.34
168,59.97,59.53
169,47.07,48.69
170,319.22,319.64
171,60.05,60.93
172,60.06,59.13
173,256.9,258.32
174,233.79,233.21
175,168.22,168.29
176,142.0,143.08
177,151.51,151.34
178,147.98,147.91
179,200.5,201.69
180,148.57,147.56
181,176.69,176.7
182,149.09,148.72
183,234.28,234.34
184,138.99,139.1
185,171.65,170.74
186,171.54,170.8
187,178.26,177.22
188,253.72,255.35
189,247.27,247.09
190,102.63,101.3
191,161.79,163.31
192,217.74,216.93
-1,29274.21930416675,29315.789071666735
