trip,median,mean
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,1.5,1.51
55,1.75,1.79
56,1.71,1.71
57,49.42,49.43
58,3.25,3.29
59,6.17,6.14
60,2.33,2.33
61,2.83,2.81
62,2.67,2.63
63,1.6,1.62
64,1.75,1.73
65,1.6,1.59
66,2.6,2.62
67,1.5,1.48
68,1.4,1.4
69,1.7,1.71
70,1.5,1.52
71,1.5,1.49
72,2.7,2.68
73,2.15,2.16
74,1.6,1.58
75,2.85,2.87
76,1.6,1.58
77,3.55,3.56
78,1.55,1.55
79,1.35,1.35
80,1.85,1.87
81,2.2,2.21
82,0.9,0.92
83,1.13,1.13
84,1.0,0.98
85,0.95,0.97
86,3.2,3.22
87,1.45,1.45
-1,116.8000000000003,116.88722222222258
