trip,median,mean
0,171.01,171.13
1,107.27,106.45
2,122.77,121.45
3,83.25,83.26
4,155.35,154.17
5,83.33,83.35
6,255.33,255.3
7,94.19,95.27
8,107.3,107.26
9,107.21,107.82
10,120.34,119.46
11,212.16,211.52
12,113.93,112.4
13,136.78,136.34
14,173.1,172.21
15,130.72,132.09
16,130.02,129.27
17,271.16,270.0
18,110.62,109.72
19,120.3,120.17
20,175.94,176.07
21,166.15,165.08
22,128.18,128.27
23,107.13,107.03
24,126.63,126.47
25,166.16,165.56
26,103.83,104.2
27,205.34,206.56
28,113.48,115.11
29,120.28,120.24
30,159.53,159.83
31,116.98,116.32
32,215.63,215.15
33,122.21,121.34
34,145.39,145.87
35,63.5,64.38
36,73.23,72.23
37,92.91,91.79
38,711.6,712.51
39,83.84,83.12
40,118.47,118.55
41,129.88,130.17
42,90.77,90.68
43,120.29,119.6
44,130.17,130.82
45,279.5,278.53
46,56.55,57.54
47,202.69,202.36
48,248.4,249.06
49,316.23,316.97
50,100.71,102.1
51,133.68,134.45
52,365.08,365.59
53,97.78,98.36
54,107.65,106.74
55,97.62,98.87
56,224.87,223.73
57,111.04,111.21
58,110.84,111.14
59,112.57,112.58
60,163.1,164.54
61,607.59,607.92
62,153.65,152.47
63,104.14,105.77
64,168.04,168.1
65,130.34,131.02
66,97.51,97.76
67,95.87,95.87
68,94.23,94.27
69,205.76,206.45
70,130.55,129.78
71,266.11,266.19
72,107.26,107.54
73,136.66,138.12
74,100.73,99.74
75,97.43,95.96
76,136.44,135.62
77,153.34,153.51
78,238.16,238.55
79,94.19,94.0
80,169.68,168.47
81,113.89,114.27
82,104.51,103.92
83,202.55,201.43
84,225.13,226.71
85,131.12,131.63
86,150.76,150.56
87,137.62,137.51
88,131.1,132.09
89,131.12,130.96
90,223.04,222.32
-1,14160.47589583333,14157.87167759259
