trip,median,mean
0,69.95,70.0
1,121.81,121.36
2,97.54,98.31
3,110.61,110.41
4,170.62,170.57
5,94.27,93.07
6,97.52,97.37
7,92.43,92.45
8,97.54,97.87
9,140.51,141.54
10,93.26,93.3
11,203.63,202.85
12,130.97,130.83
13,99.91,98.68
14,493.09,493.22
15,175.28,175.97
16,83.55,83.2
17,170.15,171.03
18,120.81,121.58
19,196.2,197.28
20,916.9,916.37
21,1864.29,1865.82
22,117.09,116.36
23,107.33,108.66
24,697.1,696.64
25,156.5,156.78
26,120.72,119.7
27,205.64,206.14
28,79.95,79.07
29,99.43,97.98
30,63.45,62.92
31,66.77,66.15
32,60.17,60.12
33,160.49,161.55
34,70.75,69.53
35,60.15,60.98
36,70.15,69.88
37,576.35,575.46
38,195.4,195.78
39,103.97,104.73
40,103.75,103.84
41,113.59,114.22
42,100.48,99.6
43,123.94,125.34
44,179.18,178.61
45,136.7,138.08
46,93.96,95.28
47,107.12,106.12
48,184.51,185.88
49,157.65,158.98
50,232.42,233.9
51,3693.53,3692.27
52,130.6,131.48
53,110.97,109.86
54,117.65,116.97
55,110.87,110.65
56,166.36,167.32
57,130.73,129.8
58,91.08,90.46
59,120.64,119.39
60,91.1,91.13
61,199.2,198.68
62,104.25,105.11
63,104.2,103.82
64,119.66,119.67
65,127.02,128.27
66,123.77,123.18
67,130.35,131.42
68,94.36,93.03
69,172.86,174.39
70,107.37,108.66
71,114.04,114.75
72,228.52,228.63
73,107.55,106.55
74,163.47,163.82
75,258.25,257.33
76,232.96,233.45
77,97.9,98.56
78,114.49,113.9
79,137.86,136.54
80,200.13,201.16
81,187.37,185.93
-1,18074.685775000027,18077.48905555559
