trip,median,mean
0,96.95,96.77
1,50.21,51.56
2,53.36,52.24
3,53.32,54.12
4,53.42,54.37
5,56.67,57.41
6,63.14,62.83
7,118.86,120.3
8,110.24,110.31
9,149.71,151.15
10,284.16,282.96
11,90.5,91.96
12,93.83,93.75
13,93.84,92.98
14,113.3,113.72
15,93.85,92.79
16,185.52,186.06
17,113.51,113.22
18,211.52,211.84
19,109.92,108.93
20,116.65,115.82
21,93.77,92.28
22,83.96,84.18
23,100.43,100.72
24,146.29,146.48
25,186.11,187.04
26,2560.88,2559.8
27,129.77,128.74
28,198.59,197.13
29,3505.49,3506.26
30,399.24,399.12
31,179.13,178.03
32,105.29,105.33
33,120.22,121.57
34,129.79,130.29
35,100.43,99.92
36,175.81,176.41
37,113.44,113.94
38,185.59,186.98
39,129.82,130.3
40,208.42,208.56
41,113.58,112.78
42,231.21,232.45
43,136.51,136.47
44,93.8,92.24
45,106.99,108.31
46,190.96,192.25
47,2223.81,2223.43
48,171.09,170.23
49,109.97,109.51
50,113.21,114.6
51,169.87,169.15
52,306.95,307.87
53,122.82,121.97
54,113.66,114.19
55,178.96,178.96
56,204.85,203.63
57,133.06,133.1
58,142.93,142.34
59,126.7,126.54
60,267.45,266.5
61,107.09,106.58
62,133.27,133.1
63,152.79,153.71
64,234.71,234.53
65,116.69,116.84
66,169.21,167.95
67,103.59,104.53
68,106.9,108.26
69,93.7,94.2
70,132.92,132.79
71,119.93,120.52
72,162.4,161.79
73,116.74,117.8
74,247.66,246.92
75,56.66,56.98
76,53.25,53.51
77,66.46,64.96
78,59.77,60.33
79,63.08,64.58
80,266.08,265.5
81,56.67,56.97
82,112.78,114.35
83,266.86,265.84
84,136.07,136.11
85,194.94,195.04
86,211.26,210.62
87,119.88,121.22
88,100.15,101.0
89,106.64,105.4
90,162.14,161.16
91,119.99,119.95
92,143.4,144.09
93,136.14,137.55
94,139.35,139.1
95,96.8,97.14
96,113.24,114.28
97,172.96,172.49
98,143.45,142.92
99,182.15,182.73
100,100.63,100.6
101,192.55,193.91
102,113.76,114.8
103,267.89,267.92
104,170.31,171.64
-1,22546.238337500086,22556.927653981562
