trip,median,mean
0,218.4,218.52
1,53.5,53.06
2,63.43,62.39
3,43.53,43.44
4,53.4,53.58
5,50.2,51.33
6,619.9,620.89
7,50.25,48.86
8,53.48,53.74
9,60.18,60.15
10,56.81,55.3
11,53.62,54.45
12,122.27,122.28
13,50.2,48.89
14,53.63,52.73
15,60.19,61.53
16,207.51,206.73
17,47.0,47.42
18,53.55,53.67
19,63.44,64.86
20,53.6,52.77
21,69.96,68.66
22,53.56,52.89
23,46.97,48.18
24,76.54,75.78
25,117.37,117.4
26,56.9,55.32
27,53.53,52.88
28,86.25,84.97
29,43.56,44.15
30,63.44,64.98
31,56.8,55.52
32,63.35,64.83
33,60.01,61.21
34,63.38,63.55
35,122.34,120.86
36,60.02,60.71
37,56.76,55.59
38,82.98,84.42
39,102.67,103.96
40,50.23,50.45
41,47.02,47.1
42,46.93,48.46
43,69.91,71.14
44,125.6,124.33
45,119.04,120.29
46,99.76,99.25
47,83.57,82.49
48,190.5,188.91
49,103.91,103.94
50,185.71,185.66
51,104.01,102.71
52,94.04,95.5
53,156.06,157.05
54,203.87,204.3
55,123.55,122.57
56,202.08,202.7
57,113.72,113.43
58,208.69,209.86
59,130.13,128.89
60,241.74,240.43
61,102.75,103.97
62,181.46,182.4
63,266.62,265.89
64,76.61,76.16
65,155.32,156.08
66,843.09,843.58
67,284.57,283.9
68,107.2,106.0
69,107.06,106.31
70,103.82,103.55
71,156.41,156.03
72,64.22,65.35
73,116.87,118.24
74,182.63,183.88
75,49.96,50.08
76,128.68,129.68
77,84.1,82.76
78,110.57,111.59
79,127.11,128.14
80,186.08,187.61
81,107.28,107.54
82,123.38,124.06
83,241.41,241.47
84,133.5,132.96
85,113.88,113.48
86,117.04,116.41
87,107.09,105.62
88,120.07,120.82
89,103.89,103.2
90,110.42,110.47
91,210.92,210.0
92,191.98,193.62
93,113.71,113.0
94,192.13,193.01
95,120.01,119.52
96,208.36,207.18
97,143.3,144.13
98,182.22,182.63
99,96.84,96.93
100,116.8,115.29
101,113.53,114.6
102,107.06,106.87
103,178.93,180.38
104,123.28,124.79
105,113.62,115.21
106,162.54,161.78
107,106.93,105.48
108,352.55,352.99
109,143.64,144.25
110,117.08,115.75
111,284.19,283.14
112,120.34,119.46
113,94.02,93.58
114,169.46,169.82
115,359.65,360.69
116,120.97,121.44
117,146.49,145.45
118,100.88,100.27
119,111.19,110.95
120,120.78,120.66
121,110.98,111.4
122,144.09,142.64
123,190.26,191.48
124,150.77,150.6
125,347.32,347.77
126,174.13,173.8
-1,16678.621587499998,16679.73789277778
