trip,median,mean
0,63.54,63.63
1,83.93,82.86
2,63.48,64.27
3,137.66,138.43
4,131.56,132.94
5,141.03,139.7
6,236.02,234.75
7,104.81,105.12
8,98.31,98.34
9,203.5,204.93
10,1120.77,1121.63
11,173.84,173.85
12,91.5,92.68
13,114.75,115.37
14,134.22,135.18
15,186.71,185.59
16,130.92,132.14
17,108.1,108.95
18,124.47,124.64
19,229.61,231.16
20,121.35,121.03
21,118.06,118.83
22,124.31,125.65
23,114.84,114.56
24,232.85,231.9
25,314.47,313.42
26,121.25,121.86
27,1185.79,1186.89
28,455.19,453.9
29,120.96,122.66
30,134.21,135.52
31,188.53,188.6
32,124.51,125.51
33,140.9,140.66
34,104.89,105.36
35,196.79,197.29
36,147.28,148.42
37,127.54,126.14
38,140.69,139.26
39,209.6,211.24
40,124.5,123.73
41,343.96,342.64
42,186.79,186.81
43,127.74,128.55
44,167.23,168.88
45,193.12,193.65
46,141.1,142.38
47,131.03,131.85
48,134.51,135.3
49,230.09,230.63
50,157.63,158.43
51,111.22,109.71
52,121.49,122.89
53,180.22,180.62
54,124.9,124.11
55,131.53,132.06
56,246.83,245.48
57,274.67,273.95
58,140.59,140.64
59,187.0,187.1
60,130.76,131.14
61,185.34,185.38
62,117.98,117.93
63,265.96,266.85
64,121.07,121.63
65,140.89,141.64
66,216.39,215.1
67,180.14,179.86
68,127.75,127.8
69,118.14,118.73
70,307.56,307.31
71,209.25,209.01
72,101.49,100.66
73,120.87,122.0
74,150.46,149.23
75,111.03,109.57
76,383.1,384.77
77,168.57,168.67
78,199.84,200.64
79,140.87,140.37
80,130.6,130.09
81,130.35,130.26
82,114.68,114.16
83,137.7,139.11
84,108.21,108.23
85,114.8,115.62
86,56.95,57.1
87,60.08,61.48
88,66.73,66.18
89,155.2,154.26
90,63.37,62.82
91,60.19,58.9
92,57.06,57.53
93,53.61,52.24
94,128.81,128.71
95,58.67,58.71
96,109.5,110.29
97,50.49,49.55
98,50.23,51.36
99,50.36,49.38
100,60.01,60.49
101,50.16,51.83
102,56.9,58.0
103,70.0,69.05
104,58.59,58.73
105,65.16,65.25
106,57.18,56.58
107,122.53,121.78
108,129.21,130.09
109,73.76,73.4
110,69.95,70.02
111,170.24,168.9
112,131.09,130.44
113,858.02,859.43
114,180.29,181.15
115,131.2,129.76
116,147.51,146.18
117,281.8,281.92
118,98.23,98.46
119,101.28,99.83
120,137.65,138.11
121,134.46,134.85
122,124.42,123.73
123,226.05,226.21
124,117.97,118.99
125,101.54,102.93
126,114.49,115.83
127,117.87,117.69
128,147.41,146.62
129,121.1,120.08
130,212.41,211.35
131,111.13,111.62
132,124.78,123.5
133,186.96,186.4
134,128.22,128.19
135,150.28,151.71
136,104.03,105.36
137,104.37,104.65
138,304.82,306.08
139,144.26,145.12
140,117.78,117.17
141,189.98,191.25
142,127.76,127.92
143,60.11,60.31
144,89.74,88.85
145,60.09,58.83
146,56.75,58.32
147,47.01,48.51
148,122.24,123.57
149,56.84,55.81
150,46.89,47.05
151,60.09,60.51
152,53.55,52.17
153,56.79,57.7
154,66.74,65.25
155,56.9,56.76
156,63.36,64.12
157,76.53,75.49
158,53.48,53.17
159,53.53,53.93
160,46.99,46.31
161,50.41,50.84
162,56.87,55.51
163,41.88,41.89
164,53.54,53.31
165,56.54,57.06
166,60.07,59.31
167,56.81,57.85
168,53.45,53.42
169,63.31,64.48
170,53.78,54.32
171,70.14,68.72
172,194.85,194.33
173,60.22,60.36
174,53.67,53.23
175,66.78,67.84
176,50.46,51.1
177,57.07,56.04
178,56.71,58.4
179,152.22,153.18
180,200.89,201.83
181,286.36,285.82
182,122.4,123.49
183,191.2,192.0
184,145.16,145.35
185,129.07,127.89
186,135.91,137.32
187,142.27,141.69
188,240.8,242.05
189,161.73,161.55
190,161.72,160.29
191,158.42,157.67
192,145.48,144.47
193,158.63,160.02
194,158.69,157.57
-1,28051.964704166676,28072.087187499994
