trip,median,mean
0,149.72,149.64
1,50.39,51.06
2,60.24,61.42
3,66.87,66.77
4,57.04,56.17
5,56.91,57.41
6,169.48,168.97
7,53.68,54.49
8,60.25,59.4
9,56.97,58.54
10,60.29,59.17
11,138.97,137.57
12,60.31,60.96
13,56.93,55.43
14,60.24,61.15
15,57.0,57.31
16,56.93,57.94
17,60.26,59.49
18,53.66,52.55
19,56.89,56.5
20,66.77,65.72
21,60.24,61.05
22,122.47,121.83
23,287.99,287.08
24,100.92,100.79
25,100.85,102.33
26,113.93,113.28
27,104.27,104.17
28,172.85,174.11
29,128.03,128.52
30,257.86,258.16
31,107.39,107.94
32,94.11,95.45
33,110.59,111.2
34,94.18,95.72
35,150.01,149.36
36,99.28,100.59
37,116.65,117.59
38,171.4,172.9
39,114.18,114.17
40,156.61,156.68
41,203.26,204.1
42,94.83,94.99
43,280.21,278.98
44,119.67,120.95
45,100.72,100.66
46,126.8,128.38
47,147.43,146.67
48,120.16,119.69
49,242.57,241.61
50,136.6,137.5
51,339.7,338.86
52,107.45,106.75
53,103.99,105.49
54,128.92,128.91
55,209.16,208.76
56,117.27,118.16
57,117.22,118.51
58,212.14,213.36
59,166.49,164.91
60,133.79,132.31
61,153.24,154.28
62,133.78,133.83
63,136.97,136.99
64,172.92,173.4
65,140.18,140.17
66,1535.58,1535.37
67,202.43,202.5
68,275.81,275.19
69,104.03,102.72
70,156.36,154.9
71,100.42,100.04
72,97.45,98.22
73,116.65,117.2
74,107.01,107.7
75,198.66,199.61
76,169.2,168.17
77,123.59,122.52
78,221.46,223.04
79,126.97,126.15
80,133.95,132.88
81,113.92,114.88
82,176.15,176.51
83,123.53,122.54
84,130.25,129.44
85,120.36,119.97
86,329.91,331.38
87,418.2,418.09
88,110.66,110.47
89,57.42,57.61
90,208.99,208.81
91,141.92,141.93
92,158.57,157.42
93,76.66,77.63
94,76.51,76.61
95,138.86,138.33
96,96.2,95.04
97,73.48,72.82
98,155.13,154.82
99,73.61,74.05
100,123.86,122.29
101,120.22,121.63
102,113.65,114.42
103,130.06,130.42
104,130.08,130.82
105,113.63,113.76
106,113.72,114.69
107,421.5,421.6
108,103.74,104.92
109,179.07,178.95
110,179.12,180.03
111,93.8,95.34
112,299.34,300.55
113,440.25,439.7
114,107.65,109.08
115,215.84,216.93
116,117.44,116.89
117,330.33,330.35
118,122.06,122.09
119,127.18,126.2
120,117.39,118.73
121,120.71,120.05
122,212.1,211.92
123,116.97,116.19
124,313.59,314.98
125,126.88,128.37
126,127.25,128.13
127,159.49,158.99
128,130.22,131.2
129,113.63,114.77
130,107.0,107.21
131,131.34,130.41
132,223.4,222.83
133,435.71,437.39
134,124.28,124.03
135,130.9,129.52
136,334.59,335.99
137,134.54,134.54
138,147.87,147.66
139,147.79,146.79
140,220.01,220.76
141,488.21,488.08
142,226.01,225.8
143,134.54,134.26
-1,22675.9170125,22692.624837037038
