trip,median,mean
0,136.56,139.51
1,59.99,60.04
2,69.92,68.56
3,52.47,53.76
4,115.94,114.5
5,141.62,142.44
6,87.76,87.06
7,163.4,172.32
8,150.02,150.73
9,84.61,84.44
10,89.3,89.31
11,88.03,88.34
12,104.28,105.73
13,114.1,115.15
14,163.27,164.21
15,227.13,227.08
16,84.51,85.51
17,415.02,426.91
18,104.17,106.16
19,112.5,114.01
20,94.46,94.43
21,94.39,95.26
22,176.13,174.61
23,144.66,146.01
24,101.1,101.81
25,291.59,292.01
26,110.8,111.09
27,304.46,313.77
28,149.91,150.76
29,94.43,95.47
30,104.3,104.63
31,107.59,108.41
32,294.41,301.19
33,94.72,95.03
34,98.03,97.05
35,120.84,119.87
36,106.05,106.14
37,163.55,163.53
38,117.88,117.18
39,268.28,273.27
40,333.68,339.11
41,84.42,85.1
42,97.79,99.37
43,104.08,103.82
44,239.4,240.02
45,91.2,92.05
46,91.06,90.56
47,117.28,118.51
48,264.97,278.12
49,91.36,92.34
50,251.57,253.04
51,114.41,113.19
52,183.2,184.64
53,154.76,153.35
54,150.2,148.98
55,101.18,100.87
56,110.88,111.09
57,104.4,104.4
58,210.1,214.69
59,97.82,98.12
60,146.73,147.58
61,228.36,229.43
62,230.88,235.93
63,76.71,76.73
64,70.21,69.48
65,67.08,67.71
66,73.55,74.73
67,135.81,135.93
68,83.48,84.82
69,400.53,406.32
70,250.74,250.27
71,160.3,160.02
72,140.69,139.82
73,149.53,150.63
74,153.94,154.01
75,110.43,110.33
76,144.12,143.82
77,212.62,211.07
78,152.91,151.45
79,159.45,158.78
80,329.92,342.26
81,110.87,111.87
82,120.72,121.21
83,264.52,263.66
84,179.07,179.15
85,182.53,183.17
86,107.25,108.31
87,103.86,102.7
88,124.13,123.29
89,166.22,166.8
90,185.81,187.24
91,120.34,120.11
92,110.38,111.5
93,224.93,224.24
94,175.8,176.92
95,113.65,114.9
96,4570.1,4719.63
-1,18934.07696666669,19194.494084814836
