trip,median,mean
0,499.48,499.61
1,56.85,55.37
2,60.14,60.33
3,126.84,125.99
4,53.46,53.66
5,53.52,53.61
6,119.2,119.78
7,53.48,53.29
8,63.3,64.67
9,81.08,79.87
10,72.89,72.31
11,39.52,39.59
12,16.55,16.24
13,13.17,14.52
14,200.66,201.78
15,101.09,102.2
16,94.37,93.5
17,87.73,88.24
18,91.04,92.28
19,232.0,232.04
20,104.18,102.9
21,397.29,396.79
22,110.33,108.91
23,268.38,269.06
24,113.8,113.86
25,165.19,166.41
26,198.76,199.59
27,4207.42,4208.31
28,188.23,189.24
29,124.27,124.4
30,110.48,109.21
31,244.93,246.34
32,133.86,134.94
33,110.94,110.02
34,127.21,127.15
35,140.47,138.96
36,107.52,108.62
37,146.36,147.91
38,166.28,166.51
39,100.45,99.48
40,185.96,185.89
41,279.37,279.43
42,120.55,120.45
43,189.1,187.96
44,123.77,124.7
45,120.59,120.51
46,114.31,113.37
47,120.65,119.17
48,114.14,113.66
49,189.55,189.43
50,120.69,120.53
51,120.64,121.01
52,114.14,114.13
53,424.74,424.26
54,97.06,95.58
55,169.32,169.09
56,130.31,129.85
57,192.46,191.07
58,123.64,125.21
59,113.65,112.46
60,166.16,166.87
61,120.11,120.58
62,111.04,112.56
63,107.14,107.25
64,100.66,101.87
65,117.14,117.76
66,107.23,106.48
67,126.96,127.93
68,123.94,124.79
69,179.33,177.94
70,252.68,252.63
71,417.27,417.64
72,97.23,96.91
73,117.0,115.81
74,140.21,141.47
75,97.36,97.1
76,107.32,107.28
77,113.79,112.91
78,126.97,125.42
79,114.39,114.08
80,127.34,128.93
81,213.15,211.71
82,127.8,129.29
83,225.41,226.73
84,101.01,100.33
85,199.26,198.25
86,228.92,227.78
87,130.95,130.87
88,268.42,267.01
89,150.54,150.06
90,100.39,101.55
91,150.32,150.69
-1,17414.83272500012,17413.75499500013
