trip,median,mean
0,73.27,73.26
1,56.01,54.73
2,175.96,176.93
3,577.42,577.77
4,209.14,207.66
5,251.71,253.32
6,249.61,250.3
7,170.2,170.39
8,313.34,314.14
9,152.01,150.85
10,76.51,75.27
11,79.81,78.47
12,2720.27,2720.43
13,113.73,112.58
14,120.64,119.46
15,231.79,233.35
16,100.81,100.33
17,133.74,132.26
18,704.85,705.36
19,254.64,254.43
20,117.45,117.19
21,254.17,254.91
22,286.59,286.86
23,156.52,156.29
24,107.42,107.03
25,116.94,118.49
26,120.58,119.25
27,453.94,455.53
28,93.72,94.59
29,185.73,185.9
30,286.04,284.75
31,185.49,186.67
32,83.51,82.0
33,123.95,123.1
34,107.2,106.14
35,287.52,288.74
36,199.03,198.99
37,186.31,185.3
38,195.96,197.47
39,71.03,70.67
40,126.5,125.19
41,170.09,168.74
42,196.59,196.69
43,193.59,192.72
44,858.35,858.85
45,127.76,126.35
46,406.08,406.83
-1,12463.533008333341,12456.55170027779
