trip,median,mean
0,80.34,80.31
1,53.7,54.45
2,53.72,53.28
3,115.92,116.8
4,50.47,49.31
5,92.93,93.31
6,60.3,60.33
7,53.65,54.72
8,53.67,54.02
9,56.87,56.2
10,53.7,53.16
11,66.79,67.16
12,56.97,57.06
13,110.55,111.71
14,104.15,102.97
15,100.83,102.43
16,209.08,209.05
17,130.34,129.45
18,84.3,83.77
19,80.94,82.06
20,84.29,84.52
21,76.5,76.19
22,271.25,271.48
23,120.56,120.97
24,379.96,380.83
25,109.97,108.63
26,247.65,248.47
27,189.75,189.18
28,85.17,85.15
29,83.41,82.84
30,70.08,69.35
31,70.06,70.76
32,88.05,88.19
33,175.08,175.97
34,119.36,120.71
35,191.46,193.1
36,122.63,121.71
37,1619.01,1619.66
38,114.22,114.76
39,107.63,106.83
40,206.07,204.65
41,133.8,133.52
42,117.56,117.02
43,317.48,318.65
44,212.14,213.02
45,117.2,116.19
46,235.35,236.62
47,415.05,416.53
48,120.9,120.23
49,464.24,463.97
50,2504.46,2504.23
51,107.59,107.96
52,750.59,750.49
53,169.71,169.87
54,100.65,99.61
55,100.72,101.48
56,114.08,114.12
57,399.51,399.37
58,117.14,116.49
59,185.93,186.77
60,93.81,94.06
61,113.84,114.96
62,90.65,91.02
63,202.27,202.57
64,104.01,103.87
65,149.89,149.9
66,186.03,185.92
67,97.18,97.91
68,127.28,127.87
69,140.65,141.84
70,156.67,155.41
71,212.67,212.48
72,97.52,98.2
73,140.13,139.09
74,91.15,90.18
75,114.15,113.99
76,107.3,107.24
77,110.6,112.18
78,228.8,228.06
79,130.72,130.72
80,2312.61,2312.46
81,66.95,67.52
82,66.71,65.62
83,529.77,530.94
84,134.15,135.17
85,206.5,205.53
86,159.11,159.05
87,134.02,135.62
88,415.63,415.14
89,130.67,130.92
90,190.03,189.85
91,173.62,172.89
92,219.94,221.2
93,223.63,222.94
94,135.07,135.98
95,236.57,238.19
96,157.81,156.69
97,141.51,140.74
98,127.56,128.3
99,131.07,132.25
100,187.06,188.32
101,134.65,135.47
102,131.33,131.32
103,357.64,358.25
104,162.2,162.3
-1,22446.63172083335,22461.77284500001
