trip,median,mean
0,53.66,53.62
1,53.66,52.47
2,223.96,224.36
3,56.89,56.81
4,56.94,57.8
5,60.17,61.66
6,63.43,63.84
7,63.51,63.19
8,70.03,70.26
9,56.91,55.8
10,119.18,118.17
11,60.11,58.87
12,63.4,62.1
13,164.93,164.09
14,56.8,58.25
15,56.77,56.7
16,46.96,48.13
17,56.83,58.03
18,164.88,163.92
19,56.81,55.97
20,53.53,54.63
21,53.51,54.07
22,56.87,57.52
23,56.79,57.92
24,56.82,55.5
25,56.82,56.72
26,53.58,53.57
27,56.86,58.15
28,56.82,56.72
29,132.06,133.62
30,53.51,55.07
31,86.36,86.39
32,154.96,155.07
33,60.04,61.3
34,60.25,60.96
35,53.36,53.99
36,46.86,48.15
37,59.96,59.57
38,74.0,74.98
39,76.44,76.2
40,53.52,52.04
41,56.76,57.31
42,53.5,53.55
43,125.65,124.34
44,69.79,69.68
45,53.51,54.02
46,56.79,57.09
47,194.3,195.8
48,50.28,50.53
49,53.58,54.69
50,63.41,63.2
51,56.81,56.04
52,63.38,64.5
53,53.55,53.96
54,63.34,62.7
55,53.53,53.32
56,109.24,109.71
57,53.5,51.99
58,56.89,57.31
59,56.82,55.37
60,63.35,64.57
61,50.19,51.09
62,56.79,57.56
63,60.0,60.06
64,56.77,57.44
65,56.78,58.23
66,69.98,71.05
67,135.46,134.8
68,96.09,95.34
69,56.88,57.71
70,56.76,55.9
71,60.08,61.15
72,56.8,56.83
73,69.95,70.18
74,86.32,86.34
75,60.11,58.68
76,125.52,126.53
77,66.71,66.44
78,56.84,57.38
79,70.38,70.76
80,127.95,129.48
81,167.79,168.12
82,146.5,147.45
83,93.3,94.09
84,125.98,126.24
85,78.07,78.22
86,89.5,88.54
87,89.58,88.42
88,374.5,372.99
89,235.94,236.38
90,156.79,155.94
91,127.48,127.07
92,283.24,282.11
93,176.48,176.06
94,120.43,120.42
95,127.22,128.05
96,146.7,145.67
97,205.93,206.76
98,107.36,108.53
99,113.92,114.08
100,421.76,420.66
101,130.45,131.03
102,189.24,188.56
103,195.67,196.14
104,234.94,235.82
105,120.43,119.05
106,113.82,113.34
107,143.76,144.84
108,327.47,328.08
109,326.65,326.32
110,110.37,109.69
111,208.76,207.55
112,342.8,343.51
113,110.66,111.92
114,130.22,131.7
115,180.66,180.74
116,139.88,138.61
117,205.12,204.64
118,113.74,114.22
119,195.42,194.17
120,113.85,113.81
121,172.76,171.6
122,110.47,110.6
123,120.24,119.84
124,153.05,154.31
125,123.56,122.18
126,97.39,98.81
127,172.8,172.56
128,130.08,131.51
129,61.63,61.72
130,63.22,62.73
131,53.45,54.33
132,79.69,78.74
133,73.43,73.96
134,90.44,89.44
135,178.89,180.37
136,116.61,117.69
137,178.87,179.65
138,208.43,208.38
139,126.38,126.86
140,113.61,114.64
141,126.89,126.04
142,307.07,308.43
143,100.33,101.23
144,113.42,114.57
145,209.38,209.42
146,229.63,228.4
147,173.41,173.52
148,127.36,127.13
149,212.35,213.04
150,130.35,129.79
151,130.42,131.93
152,193.21,191.9
153,124.08,124.03
154,121.05,120.63
155,119.17,119.21
156,189.49,188.36
157,186.7,186.06
158,150.35,150.7
159,137.42,136.81
160,127.68,129.28
161,147.31,147.5
162,153.7,153.24
163,176.99,176.42
164,154.38,155.9
165,157.58,156.62
-1,19350.270137499992,19368.413670277772
